the_geom,cartodb_id,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cost_estimate,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E6100000000000A0FC7C52C0000000A0655F4440,4573,0101000020110F00002B68555274675FC1969C1B073FFA5241,40.745288848877,-73.9529190063477,Queens,NB,New Building,420664873,4000343,NB,3408144,false,23028,12/7/2020,4/1/2021 12:00,47-01,VERNON BLVD,402,MJM ASSOCIATES CONSTR LLC,RESIDENTIAL: APARTMENT HOUSES,4,15
0101000020E6100000000000E0127F52C000000060665F4440,4574,0101000020110F0000FC5C8BCCFF6A5FC129A657DE3FFA5241,40.7453117370605,-73.9855270385742,Manhattan,NB,New Building,121237312,1090514,NB,6821912,false,46094,5/26/2020,4/11/2021 12:00,16,EAST 30TH STREET,105,DLC DEVELOPMENT CORP,"RESIDENTIAL: HOTELS, DORMITORIES",20,1
0101000020E610000000000060977E52C0000000A0695F4440,4575,0101000020110F0000104096052E6A5FC16AB2068343FA5241,40.7454109191895,-73.9779891967773,Manhattan,NB,New Building,121205221,1091631,NB,19966384,false,134908,8/7/2020,8/7/2021 12:00,200,EAST 34TH STREET,106,NOBLE CONSTRUCTION GR LLC,RESIDENTIAL: APARTMENT HOUSES,31,144
0101000020E6100000000000404D7F52C0000000E06A5F4440,4576,0101000020110F000066A36EF4626B5FC18F45C0E944FA5241,40.7454490661621,-73.9890899658203,Manhattan,NB,New Building,121190371,1090462,NB,46616744,false,314978,12/14/2020,10/1/2021 12:00,35,WEST 28 STREET,105,LENDLEASE(US)CONSTRUCTION,"RESIDENTIAL: HOTELS, DORMITORIES",38,266
0101000020E610000000000060F97E52C0000000406B5F4440,4577,0101000020110F00001659147CD46A5FC1BD5A5E5545FA5241,40.7454605102539,-73.9839706420898,Manhattan,NB,New Building,121192681,1090512,NB,13063812,false,88269,7/6/2020,1/1/2021 12:00,30,EAST 31ST STREET,105,E&T SKYLINE CONSTRUCTION,RESIDENTIAL: APARTMENT HOUSES,40,42
0101000020E610000000000060E77452C0000000806F5F4440,4578,0101000020110F00003B15057EB9595FC1D4F408194AFA5241,40.7455902099609,-73.8266220092773,Queens,NB,New Building,421569216,4618302,NB,587412,false,3969,2/27/2020,1/8/2021 12:00,138-11,58 AVE,407,PAN LINK CONSTRUCTION INC,RESIDENTIAL: APARTMENT HOUSES,3,3
0101000020E610000000000040E97452C0000000E06F5F4440,4579,0101000020110F0000CF2059ADBC595FC1F518A7844AFA5241,40.7456016540527,-73.8267364501953,Queens,NB,New Building,421569207,4139551,NB,587412,false,3969,2/27/2020,1/8/2021 12:00,138-15,58 AVE,407,PAN LINK CONSTRUCTION INC,RESIDENTIAL: APARTMENT HOUSES,3,3
0101000020E6100000000000C06B7C52C000000020705F4440,4580,0101000020110F0000A12DA23C7E665FC167DC65CC4AFA5241,40.7456092834473,-73.9440765380859,Queens,A1,ALT 1 Enlargement,420665462,4441059,A1,40163968,true,91210,10/29/2020,1/1/2021 12:00,45-18,COURT SQUARE,402,PAVARINI MCGOVERN LLC,BUSINESS,6,
0101000020E610000000000020E57152C000000020715F4440,4581,0101000020110F0000A74C27259D545FC188EF60EB4BFA5241,40.7456398010254,-73.7796096801758,Queens,A1,ALT 1 Enlargement,421719215,4128382,A1,756000,true,1645,7/14/2020,3/1/2021 12:00,56-11,197 STREET,411,EAST COAST ENVIRONMENTAL,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000C0417252C000000080725F4440,4582,0101000020110F000057225F7A3A555FC1EE37FA754DFA5241,40.7456817626953,-73.7852630615234,Queens,A1,ALT 1 Enlargement,421933527,4127868,A1,668000,true,1760,9/17/2020,9/15/2021 12:00,5336,193 STREET,411,HY DESIGN & DEVELOPMENT L,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
